"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 09 14:14:18 UTC 2024","Mon Dec 09 14:14:20 UTC 2024","2154","Login","","","","","Validar a realização do login com sucesso",""
"passed","Mon Dec 09 14:14:57 UTC 2024","Mon Dec 09 14:14:58 UTC 2024","968","Cadastro","","","","","Validar a validação dos campos obrigatórios",""
"passed","Mon Dec 09 14:14:42 UTC 2024","Mon Dec 09 14:14:43 UTC 2024","1460","Cadastro de Produto","","","","","Validar a validação dos campos obrigatórios",""
"passed","Mon Dec 09 14:14:34 UTC 2024","Mon Dec 09 14:14:42 UTC 2024","7758","Cadastro de Produto","","","","","Validar o cadastro do produto com sucesso",""
"passed","Mon Dec 09 14:14:58 UTC 2024","Mon Dec 09 14:15:00 UTC 2024","1931","Cadastro","","","","","Validar a mensagem de e-mail já sendo utilizado",""
"passed","Mon Dec 09 14:14:20 UTC 2024","Mon Dec 09 14:14:22 UTC 2024","1232","Login","","","","","Validar a realização do login com falha (Senha Inválida)",""
"passed","Mon Dec 09 14:14:51 UTC 2024","Mon Dec 09 14:14:57 UTC 2024","5903","Cadastro","","","","","Validar a realização do cadastro com sucesso",""
"passed","Mon Dec 09 14:14:22 UTC 2024","Mon Dec 09 14:14:23 UTC 2024","1163","Login","","","","","Validar a realização do login com falha (Usuário Inexistente)",""
