"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 09 13:24:47 UTC 2024","Mon Dec 09 13:24:47 UTC 2024","112","Cadastro de Produto (API)","","","","","Validar o cadastro do produto com sucesso (via API)",""
"passed","Mon Dec 09 13:24:51 UTC 2024","Mon Dec 09 13:24:51 UTC 2024","41","Cadastro","","","","","Validar a mensagem de e-mail já sendo utilizado",""
"passed","Mon Dec 09 13:24:50 UTC 2024","Mon Dec 09 13:24:51 UTC 2024","75","Cadastro","","","","","Validar a realização do cadastro com sucesso",""
"passed","Mon Dec 09 13:24:44 UTC 2024","Mon Dec 09 13:24:44 UTC 2024","43","API - Login","","","","","Validar a realização do login com falha (Usuário Inexistente)",""
"passed","Mon Dec 09 13:24:43 UTC 2024","Mon Dec 09 13:24:44 UTC 2024","44","API - Login","","","","","Deve falhar ao tentar login com senha incorreta",""
"passed","Mon Dec 09 13:24:47 UTC 2024","Mon Dec 09 13:24:47 UTC 2024","80","Cadastro de Produto (API)","","","","","Validar a validação dos campos obrigatórios",""
"passed","Mon Dec 09 13:24:43 UTC 2024","Mon Dec 09 13:24:43 UTC 2024","179","API - Login","","","","","Deve realizar login com sucesso",""
"passed","Mon Dec 09 13:24:51 UTC 2024","Mon Dec 09 13:24:51 UTC 2024","48","Cadastro","","","","","Validar a validação dos campos obrigatórios",""
